Price,Close,Volume
Ticker,TEM,TEM
Date,,
2024-06-14,40.25,6338900
2024-06-17,36.47999954223633,3747400
2024-06-18,30.329999923706055,4184900
2024-06-20,27.260000228881836,4586300
2024-06-21,28.639999389648438,930200
2024-06-24,25.309999465942383,1558300
2024-06-25,24.959999084472656,2234400
2024-06-26,27.559999465942383,1513800
2024-06-27,30.829999923706055,1481500
2024-06-28,35.0,1191500
2024-07-01,33.34000015258789,897000
2024-07-02,35.97999954223633,720900
2024-07-03,34.38999938964844,1092600
2024-07-05,30.8799991607666,622000
2024-07-08,33.20000076293945,511300
2024-07-09,34.5,2062000
2024-07-10,35.0,1079300
2024-07-11,37.5,982900
2024-07-12,39.7599983215332,1633500
2024-07-15,36.599998474121094,1039700
2024-07-16,40.7400016784668,1161700
2024-07-17,39.849998474121094,1146200
2024-07-18,40.13999938964844,959100
2024-07-19,41.400001525878906,442600
2024-07-22,42.97999954223633,927000
2024-07-23,40.70000076293945,448200
2024-07-24,38.04999923706055,623700
2024-07-25,40.02000045776367,651100
2024-07-26,41.91999816894531,711800
2024-07-29,43.869998931884766,519500
2024-07-30,45.970001220703125,865500
2024-07-31,43.279998779296875,573700
2024-08-01,39.279998779296875,605300
2024-08-02,39.04499816894531,680800
2024-08-05,38.220001220703125,1005700
2024-08-06,40.650001525878906,1000000
2024-08-07,38.81999969482422,1210500
2024-08-08,38.93000030517578,686600
2024-08-09,38.75,336600
2024-08-12,38.68000030517578,372900
2024-08-13,42.650001525878906,718600
2024-08-14,42.900001525878906,605900
2024-08-15,47.20000076293945,717700
2024-08-16,50.880001068115234,1307000
2024-08-19,57.61000061035156,1424900
2024-08-20,58.709999084472656,3133800
2024-08-21,71.47000122070312,1764100
2024-08-22,64.52999877929688,2162400
2024-08-23,64.94999694824219,990700
2024-08-26,60.5099983215332,1042700
2024-08-27,68.47000122070312,1449900
2024-08-28,59.22999954223633,1227800
2024-08-29,57.90999984741211,1192800
2024-08-30,59.380001068115234,715300
2024-09-03,52.09000015258789,1084000
2024-09-04,53.73500061035156,796900
2024-09-05,55.630001068115234,949200
2024-09-06,50.189998626708984,1465200
2024-09-09,47.27000045776367,1580000
2024-09-10,45.04999923706055,941900
2024-09-11,46.4900016784668,1099300
2024-09-12,45.45000076293945,1417900
2024-09-13,49.380001068115234,929500
2024-09-16,54.66999816894531,1360300
2024-09-17,49.22999954223633,2000100
2024-09-18,51.310001373291016,1013200
2024-09-19,50.09000015258789,1054800
2024-09-20,54.43000030517578,1691900
2024-09-23,55.36000061035156,917800
2024-09-24,51.220001220703125,1393800
2024-09-25,49.150001525878906,982400
2024-09-26,51.869998931884766,763200
2024-09-27,53.84000015258789,755600
2024-09-30,56.599998474121094,736300
2024-10-01,53.06999969482422,1012000
2024-10-02,51.25,534800
2024-10-03,48.959999084472656,1421500
2024-10-04,52.939998626708984,1055700
2024-10-07,50.54999923706055,634200
2024-10-08,48.08000183105469,1146900
2024-10-09,48.33000183105469,839200
2024-10-10,45.97999954223633,732600
2024-10-11,48.81999969482422,885000
2024-10-14,50.720001220703125,503900
2024-10-15,46.630001068115234,1406100
2024-10-16,49.04999923706055,622400
2024-10-17,48.0099983215332,435200
2024-10-18,49.34000015258789,960000
2024-10-21,48.68000030517578,411900
2024-10-22,46.529998779296875,1060100
2024-10-23,45.40999984741211,670300
2024-10-24,46.209999084472656,428900
2024-10-25,43.5099983215332,832000
2024-10-28,43.34000015258789,846900
2024-10-29,45.220001220703125,740500
2024-10-30,45.5099983215332,578200
