Price,Close,Volume
Ticker,AS,AS
Date,,
2024-02-01,13.399999618530273,18656400
2024-02-02,14.949999809265137,10039400
2024-02-05,14.600000381469727,3585100
2024-02-06,15.130000114440918,3338000
2024-02-07,15.050000190734863,1624200
2024-02-08,15.180000305175781,1208400
2024-02-09,14.9399995803833,824900
2024-02-12,14.90999984741211,1142600
2024-02-13,14.5,519100
2024-02-14,14.850000381469727,641000
2024-02-15,15.5,1027900
2024-02-16,15.970000267028809,1413700
2024-02-20,14.970000267028809,1224400
2024-02-21,14.75,697500
2024-02-22,15.020000457763672,682500
2024-02-23,15.539999961853027,874800
2024-02-26,16.100000381469727,3320900
2024-02-27,15.989999771118164,1378200
2024-02-28,16.049999237060547,818400
2024-02-29,16.31999969482422,2178900
2024-03-01,17.65999984741211,3628900
2024-03-04,17.34000015258789,2544400
2024-03-05,16.450000762939453,5495100
2024-03-06,15.15999984741211,3123000
2024-03-07,15.0600004196167,1439600
2024-03-08,15.489999771118164,762200
2024-03-11,16.15999984741211,952300
2024-03-12,15.960000038146973,954500
2024-03-13,16.229999542236328,617200
2024-03-14,15.539999961853027,864600
2024-03-15,15.130000114440918,890100
2024-03-18,15.0600004196167,1048300
2024-03-19,15.079999923706055,774400
2024-03-20,15.470000267028809,1179200
2024-03-21,15.8100004196167,726100
2024-03-22,16.270000457763672,1282400
2024-03-25,16.68000030517578,1540700
2024-03-26,16.700000762939453,2064200
2024-03-27,16.059999465942383,1205400
2024-03-28,16.299999237060547,1544000
2024-04-01,15.760000228881836,3340800
2024-04-02,15.5,2168900
2024-04-03,15.710000038146973,1231700
2024-04-04,15.510000228881836,1173700
2024-04-05,15.34000015258789,872400
2024-04-08,14.520000457763672,2920800
2024-04-09,14.9399995803833,951400
2024-04-10,14.819999694824219,960700
2024-04-11,15.050000190734863,775300
2024-04-12,14.1899995803833,1479800
2024-04-15,13.640000343322754,4451600
2024-04-16,13.569999694824219,1542500
2024-04-17,13.350000381469727,1487900
2024-04-18,13.630000114440918,1650400
2024-04-19,13.770000457763672,1439400
2024-04-22,13.819999694824219,1525100
2024-04-23,14.140000343322754,1506600
2024-04-24,14.329999923706055,962400
2024-04-25,14.550000190734863,2102500
2024-04-26,15.039999961853027,2274500
2024-04-29,15.210000038146973,1640200
2024-04-30,14.279999732971191,1431200
2024-05-01,13.869999885559082,2103900
2024-05-02,14.479999542236328,2099700
2024-05-03,14.479999542236328,1399300
2024-05-06,14.539999961853027,848400
2024-05-07,14.699999809265137,886500
2024-05-08,13.899999618530273,1097000
2024-05-09,14.25,1098200
2024-05-10,14.8100004196167,1228800
2024-05-13,14.920000076293945,1270800
2024-05-14,15.079999923706055,859300
2024-05-15,15.979999542236328,2024900
2024-05-16,16.25,2179200
2024-05-17,16.149999618530273,1423300
2024-05-20,16.030000686645508,2289600
2024-05-21,14.760000228881836,4567000
2024-05-22,15.010000228881836,1690200
2024-05-23,14.899999618530273,1147600
2024-05-24,14.819999694824219,1058900
2024-05-28,15.220000267028809,1395000
2024-05-29,15.0600004196167,1046000
