Price,Close,Volume
Ticker,INR,INR
Date,,
2025-01-31,21.06999969482422,5877500
2025-02-03,21.889999389648438,789800
2025-02-04,21.5,535600
2025-02-05,21.559999465942383,397500
2025-02-06,20.690000534057617,234200
2025-02-07,21.299999237060547,476800
2025-02-10,21.75,206100
2025-02-11,21.299999237060547,185900
2025-02-12,21.0,294200
2025-02-13,20.25,331300
2025-02-14,20.260000228881836,67500
2025-02-18,20.700000762939453,389400
2025-02-19,20.65999984741211,304900
2025-02-20,20.440000534057617,187900
2025-02-21,19.68000030517578,207000
2025-02-24,19.1299991607666,542600
2025-02-25,18.899999618530273,452800
2025-02-26,18.75,465700
2025-02-27,18.139999389648438,230600
2025-02-28,17.979999542236328,275600
2025-03-03,17.399999618530273,271600
2025-03-04,17.209999084472656,309000
2025-03-05,16.8700008392334,519700
2025-03-06,15.289999961853027,412300
2025-03-07,15.649999618530273,405300
2025-03-10,16.219999313354492,385200
2025-03-11,16.389999389648438,371200
2025-03-12,16.549999237060547,335900
2025-03-13,16.780000686645508,269800
2025-03-14,16.479999542236328,357400
2025-03-17,17.229999542236328,237900
2025-03-18,17.510000228881836,366600
2025-03-19,17.799999237060547,338700
2025-03-20,17.639999389648438,481200
2025-03-21,17.549999237060547,3080900
2025-03-24,17.8799991607666,266300
2025-03-25,18.15999984741211,258300
2025-03-26,18.110000610351562,155500
2025-03-27,18.110000610351562,197200
2025-03-28,17.979999542236328,525300
2025-03-31,18.75,515600
2025-04-01,18.5,295900
2025-04-02,18.75,265700
2025-04-03,17.299999237060547,606400
2025-04-04,14.739999771118164,524900
2025-04-07,14.90999984741211,369300
2025-04-08,15.079999923706055,373400
2025-04-09,16.549999237060547,688100
2025-04-10,15.489999771118164,199300
2025-04-11,15.869999885559082,273300
2025-04-14,15.229999542236328,253500
2025-04-15,15.470000267028809,312300
2025-04-16,15.699999809265137,449900
2025-04-17,16.149999618530273,365600
2025-04-21,15.029999732971191,249700
2025-04-22,15.489999771118164,185500
2025-04-23,14.989999771118164,250100
2025-04-24,15.25,215200
2025-04-25,16.030000686645508,146100
2025-04-28,16.5,176200
2025-04-29,16.030000686645508,150300
2025-04-30,15.350000381469727,240100
2025-05-01,15.739999771118164,255300
2025-05-02,16.239999771118164,86900
2025-05-05,15.90999984741211,161600
2025-05-06,16.329999923706055,148600
2025-05-07,16.18000030517578,291300
2025-05-08,17.030000686645508,520800
2025-05-09,17.3700008392334,336200
2025-05-12,18.229999542236328,386800
2025-05-13,18.40999984741211,371800
2025-05-14,18.40999984741211,165700
2025-05-15,17.979999542236328,137900
2025-05-16,17.6200008392334,207300
2025-05-19,17.56999969482422,123600
2025-05-20,18.020000457763672,207200
2025-05-21,17.780000686645508,153700
2025-05-22,17.65999984741211,101800
2025-05-23,17.190000534057617,233900
2025-05-27,17.1299991607666,193400
2025-05-28,17.209999084472656,84700
2025-05-29,16.8799991607666,95500
2025-05-30,16.68000030517578,126900
2025-06-02,17.049999237060547,145400
2025-06-03,17.18000030517578,113300
2025-06-04,16.5,118400
2025-06-05,16.06999969482422,127900
2025-06-06,16.549999237060547,57300
2025-06-09,16.75,141200
2025-06-10,17.170000076293945,311400
2025-06-11,17.989999771118164,562000
2025-06-12,18.290000915527344,373600
2025-06-13,18.670000076293945,198700
2025-06-16,18.829999923706055,219500
2025-06-17,19.3799991607666,330100
2025-06-18,19.440000534057617,205700
2025-06-20,19.559999465942383,522400
2025-06-23,18.530000686645508,293900
2025-06-24,18.709999084472656,210000
2025-06-25,17.93000030517578,248300
2025-06-26,18.540000915527344,392700
2025-06-27,18.709999084472656,1438800
2025-06-30,18.309999465942383,563300
2025-07-01,17.079999923706055,506500
2025-07-02,16.639999389648438,542800
2025-07-03,16.079999923706055,333900
2025-07-07,14.970000267028809,652800
2025-07-08,15.40999984741211,352500
2025-07-09,14.829999923706055,355500
2025-07-10,15.199999809265137,330500
2025-07-11,15.25,296200
2025-07-14,15.300000190734863,190900
2025-07-15,15.069999694824219,207200
2025-07-16,14.920000076293945,358200
2025-07-17,15.539999961853027,178300
2025-07-18,15.390000343322754,198000
2025-07-21,13.949999809265137,425700
2025-07-22,14.119999885559082,237600
2025-07-23,14.09000015258789,192400
2025-07-24,14.399999618530273,245400
2025-07-25,14.09000015258789,159100
2025-07-28,14.3100004196167,283600
2025-07-29,14.960000038146973,562400
2025-07-30,15.0,254600
2025-07-31,14.90999984741211,233900
2025-08-01,14.199999809265137,564800
2025-08-04,13.949999809265137,229500
2025-08-05,14.319999694824219,350600
2025-08-06,14.390000343322754,200700
2025-08-07,14.050000190734863,337100
2025-08-08,14.380000114440918,168400
2025-08-11,14.739999771118164,195400
2025-08-12,14.34000015258789,419500
2025-08-13,13.770000457763672,319800
2025-08-14,13.960000038146973,538200
2025-08-15,13.539999961853027,240500
2025-08-18,13.5,337100
2025-08-19,13.430000305175781,273800
2025-08-20,13.75,159600
2025-08-21,13.680000305175781,245600
2025-08-22,13.75,354400
2025-08-25,14.210000038146973,737800
2025-08-26,14.149999618530273,282300
2025-08-27,14.649999618530273,248500
2025-08-28,14.800000190734863,240900
2025-08-29,14.899999618530273,300500
2025-09-02,15.199999809265137,533600
2025-09-03,14.199999809265137,396900
2025-09-04,14.600000381469727,220000
2025-09-05,14.109999656677246,400900
2025-09-08,13.720000267028809,238400
2025-09-09,13.729999542236328,231700
2025-09-10,14.050000190734863,261500
2025-09-11,13.850000381469727,201800
2025-09-12,13.770000457763672,192600
2025-09-15,13.569999694824219,318200
2025-09-16,13.619999885559082,652600
2025-09-17,13.550000190734863,249100
2025-09-18,13.600000381469727,196200
2025-09-19,12.880000114440918,448800
2025-09-22,13.0,388700
2025-09-23,13.59000015258789,539200
2025-09-24,13.970000267028809,266700
2025-09-25,13.970000267028809,141200
2025-09-26,13.760000228881836,267300
2025-09-29,13.180000305175781,427500
2025-09-30,13.109999656677246,491800
2025-10-01,13.239999771118164,403300
2025-10-02,13.5,330300
2025-10-03,13.630000114440918,148300
2025-10-06,13.760000228881836,272500
